Shadow_Sigma_dB,PF_Throughput_Mbps,RR_Throughput_Mbps,PF_Low_Band,PF_High_Band,RR_Low_Band,RR_High_Band
4,28.6573733333333,17.4754666666667,28.6277333333333,28.6502666666666,18.5716266666667,17.93792
6,28.5738266666666,17.1227333333333,28.65564,28.6362266666666,18.90252,18.32012
8,28.54072,15.99208,28.56932,28.58752,17.7796666666667,14.9555466666667
10,28.6034666666666,15.99,28.5850933333333,28.5377733333333,17.20888,15.27916
12,28.47,15.0839866666667,28.6455866666666,28.56048,15.366,13.7401333333333
14,28.3510933333333,13.6101333333333,28.5320533333333,28.40916,15.5233866666667,12.2148
16,28.2725733333333,14.8037066666667,28.39304,28.2106933333333,13.4631466666667,13.4943466666667
