Mechanical_Tilt_deg,PF_Throughput_Mbps,RR_Throughput_Mbps
0,28.6183733333333,19.1644266666667
1,28.66188,17.9767466666667
2,28.7241066666666,17.1463066666667
3,28.61404,18.3818266666667
4,28.66812,17.06744
5,28.5187066666666,16.39092
6,28.5946266666666,16.25988
7,28.5741733333333,16.90156
8,28.56984,15.72636
9,28.3978933333333,14.87668
10,28.4079466666666,16.3640533333333
