Terrain,MechTilt_deg,ElecTilt_deg,MeanTput_PF_Mbps,StdTput_PF,MeanTput_RR_Mbps,StdTput_RR,Coverage_km,Power_W,EE_Mbps_per_W,CellEdge_5pct_Mbps,SINR_StdDev_dB
Urban,0,0,28.55632,1.13174767217317,17.71016,10.7101972606312,2.87391984125519,159.940558390569,0.178543330643291,1.50072,10.2698257618954
Urban,0,0.5,28.68112,0.612770244921557,19.02472,10.3059268286531,2.88528333131927,159.941806390569,0.179322221295677,1.67648,10.6520304417813
Urban,0,1,28.66344,0.866076495655281,17.1652,10.8162665783475,2.85331254808421,159.941629590569,0.179211879192271,1.60576,10.10331197194
Urban,0,1.5,28.4492,1.33723571106173,14.69936,11.4020921921177,2.87780750800313,159.939487190569,0.17787477313906,1.3572,11.1655874365547
Urban,0,2,28.5116,1.1632417054534,16.96968,11.880882921633,2.88900982065293,159.940111190569,0.178264225201322,1.12736,10.5143057423402
Urban,0,2.5,28.47208,1.71849720585476,15.76224,11.6492584305629,2.84554373663214,159.939715990569,0.178017572581402,1.74928,11.1195968591243
Urban,0,3,28.36496,1.85530679524703,16.52872,10.9129229273352,2.85601496462003,159.938644790569,0.177349008034565,1.6224,11.0005476026475
Urban,0,3.5,28.46688,1.19219476288611,18.6524,10.3772715929711,2.84012229837397,159.939663990569,0.177985118198564,1.378,10.6842615397124
Urban,0,4,28.59896,1.27941869708434,15.95672,12.294696455806,2.87037536134547,159.940984790569,0.178809452983225,1.03896,8.89862581758679
Urban,0,4.5,28.60104,1.09749393490026,12.99168,12.0946056814345,2.85707453946176,159.941005590569,0.178822434524486,1.43208,11.717276986024
Urban,0,5,28.3244,1.95613483947403,13.09152,10.4626915689482,2.83429473681755,159.938239190569,0.177095859897839,1.2948,13.0152146890562
Urban,0,5.5,28.61872,0.912218892456795,14.80232,11.1120633280104,2.86470835806114,159.941182390569,0.17893277748888,1.40608,11.2953566156305
Urban,0,6,28.49184,1.46750822213738,18.23744,10.4730266801563,2.86887347488699,159.939913590569,0.178140899043727,1.8928,12.5711577642203
Urban,0,6.5,28.4024,1.51072378923049,16.19384,11.2203110644064,2.85361715022893,159.939019190569,0.177582682098095,1.39984,14.2046673506449
Urban,0,7,28.49392,1.31210358973828,15.85584,11.9430491839652,2.8853876715179,159.939934390569,0.178153880758877,1.27296,14.3059233192988
Urban,0,7.5,28.262,2.0585655794504,17.7424,10.9249007467588,2.82837507816354,159.937615190569,0.176706398718808,1.50696,12.9867493060644
Urban,0,8,28.18816,1.79060440554101,16.77832,10.6665677846097,2.83750023673904,159.936876790569,0.17624553239783,1.29792,11.635263479507
