Terrain,MechTilt_deg,ElecTilt_deg,MeanTput_PF_Mbps,StdTput_PF,MeanTput_RR_Mbps,StdTput_RR,Coverage_km
Urban,1.5,12,14.226,13.193592832763,3.4065,7.74943021276074,1.19302740590509
Urban,2,0,19.356,17.3735295663212,2.094,3.24866754475224,1.02649211531532
Urban,2,0.5,15.324,14.9867041073079,4.521,9.68535919070951,1.03322408742878
Urban,2,1,14.814,14.7199643688566,3.168,6.91084817146055,1.04000020936849
Urban,2,1.5,13.482,14.9133047706963,2.4315,6.32342746846832,1.04682077067918
Urban,2,2,11.3745,13.0177963843379,1.149,0.118769198233294,1.05368606280453
Urban,2,2.5,15.5925,16.420230996225,2.0145,3.16490678361616,1.06059637909951
Urban,2,3,14.304,15.2159458852768,4.089,8.923157158398,1.06755201484304
Urban,2,3.5,15.942,16.5472641243198,3.4845,8.01868495567492,1.07455326725049
Urban,2,4,15.357,15.3894709898339,3.807,8.41725032663425,1.08160043548649
Urban,2,4.5,12.699,13.8854285684891,2.1375,3.73021053873174,1.08869382067763
Urban,2,5,17.2125,15.486025835361,2.4105,6.5820955544382,1.09583372592536
Urban,2,5.5,15.3165,15.3683294887737,5.334,10.5615974557037,1.10302045631895
Urban,2,6,18.69,15.8335538831757,3.627,8.20719544929065,1.11025431894851
Urban,2,6.5,13.878,14.6083457765255,2.769,8.01285090288324,1.1175356229181
Urban,2,7,13.4565,13.7497066851832,2.724,5.716419155309,1.124864679359
Urban,2,7.5,18.096,15.4331915701457,3.828,8.67736711220633,1.13224180144292
Urban,2,8,12.1095,15.0404547074257,4.4445,11.0857479864178,1.13966730439543
Urban,2,8.5,19.227,16.6797291124678,3.9105,9.30637960087113,1.14714150550943
Urban,2,9,16.152,14.4106207644337,2.5305,6.19726381772881,1.15466472415871
Urban,2,9.5,13.989,14.8534414688781,3.105,7.03678200745257,1.16223728181157
Urban,2,10,18.9975,15.9532818020338,4.3905,9.99898577764928,1.16985950204457
Urban,2,10.5,19.872,16.8639859294466,4.5975,9.70039086367984,1.17753171055638
Urban,2,11,13.2195,15.0359783570296,1.4685,1.60707785582836,1.18525423518166
Urban,2,11.5,19.5885,18.3659152260876,2.676,6.95668992365461,1.19302740590509
Urban,2,12,13.6995,14.906876315298,2.6985,6.04309441023557,1.20085155487547
Urban,2.5,0,17.1135,16.5949911071666,2.6595,7.2880491531811,1.03322408742878
Urban,2.5,0.5,15.1965,14.5010634814084,3.4485,5.92813769928066,1.04000020936849
Urban,2.5,1,14.475,15.1239647984412,2.9625,6.82612263698082,1.04682077067918
Urban,2.5,1.5,17.22,15.9087336429538,3.4335,8.23908772751162,1.05368606280453
Urban,2.5,2,16.146,15.5355076833553,2.778,5.73365387294122,1.06059637909951
Urban,2.5,2.5,11.997,14.1109295460314,2.3355,3.52941028924039,1.06755201484304
Urban,2.5,3,13.041,13.4815063804352,3.9915,8.8580682264296,1.07455326725049
Urban,2.5,3.5,16.8285,16.253065652739,2.436,6.29781740618388,1.08160043548649
Urban,2.5,4,15.846,16.7326412946037,2.9115,6.61464093847111,1.08869382067763
Urban,2.5,4.5,16.377,15.4033853951868,4.2255,9.12028811809928,1.09583372592536
Urban,2.5,5,14.4825,15.5157525697635,2.5365,4.99944438239421,1.10302045631895
Urban,2.5,5.5,17.1705,16.8006382668478,3.0165,7.74145943169975,1.11025431894851
Urban,2.5,6,11.9535,15.3101473702901,2.6415,6.92411972228755,1.1175356229181
Urban,2.5,6.5,14.6265,16.3661792023573,2.973,8.00407714982859,1.124864679359
Urban,2.5,7,12.5475,14.410497210261,1.5135,1.58793449782658,1.13224180144292
Urban,2.5,7.5,14.8695,15.4024914248259,2.2155,3.37264237381206,1.13966730439543
Urban,2.5,8,13.5,14.3731653665107,1.395,1.15456061083065,1.14714150550943
Urban,2.5,8.5,14.19,14.5554034780271,1.656,2.83302571359272,1.15466472415871
Urban,2.5,9,13.8615,14.0815284728844,1.3245,1.41067802846716,1.16223728181157
Urban,2.5,9.5,13.4055,13.9909685610221,1.7355,3.40886108965611,1.16985950204457
Urban,2.5,10,16.443,16.9357075375054,2.7585,5.37152975303638,1.17753171055638
Urban,2.5,10.5,14.7315,15.5356336697416,2.424,5.37828200701105,1.18525423518166
Urban,2.5,11,12.0855,14.0991289081768,1.359,1.42670199110696,1.19302740590509
Urban,2.5,11.5,12.9405,13.480344619906,3.087,6.18232594430548,1.20085155487547
Urban,2.5,12,13.4475,16.371149843364,2.1585,5.77034247648425,1.20872701641989
Urban,3,0,14.5485,14.7953655612775,2.0925,3.85587032580036,1.04000020936849
Urban,3,0.5,17.4975,16.1899575590953,2.4945,5.46602514331456,1.04682077067918
Urban,3,1,15.4935,15.9938060475846,2.226,5.81457958190321,1.05368606280453
Urban,3,1.5,13.818,15.0683511076043,2.91,5.06127252692806,1.06059637909951
Urban,3,2,13.929,13.7192488787075,1.2795,1.09247997693322,1.06755201484304
Urban,3,2.5,13.218,14.73067052383,2.0565,4.95987165012506,1.07455326725049
Urban,3,3,16.638,16.9281330865491,2.973,7.07109999236617,1.08160043548649
Urban,3,3.5,14.376,15.2669318516611,4.6275,9.62184913971046,1.08869382067763
Urban,3,4,17.0055,16.402551825175,4.1265,9.06621673959915,1.09583372592536
Urban,3,4.5,16.2315,15.1669264657797,4.6215,9.66544841754613,1.10302045631895
Urban,3,5,12.6375,12.2407631252204,2.292,4.33334672944031,1.11025431894851
Urban,3,5.5,13.5285,14.0004099885303,2.0385,5.73388871944153,1.1175356229181
Urban,3,6,15.663,16.0182288060083,1.2075,0.288391475007745,1.124864679359
Urban,3,6.5,14.079,14.7661286430141,2.334,5.854700623239,1.13224180144292
Urban,3,7,13.8795,15.4598300162923,2.4345,4.97729510694641,1.13966730439543
Urban,3,7.5,13.3785,14.8096071703748,2.8125,6.43314569401379,1.14714150550943
Urban,3,8,14.382,15.683969165218,4.5165,9.66973978977929,1.15466472415871
Urban,3,8.5,16.746,17.1415649512987,2.8965,6.20024688859983,1.16223728181157
Urban,3,9,16.164,14.7870204392023,3.2205,7.48342673948948,1.16985950204457
Urban,3,9.5,17.0595,15.4930958043265,2.2245,4.87813345137131,1.17753171055638
Urban,3,10,14.9085,14.8643737640696,1.389,1.86676190233249,1.18525423518166
Urban,3,10.5,18.054,16.8440228604229,3.066,7.34490098014693,1.19302740590509
Urban,3,11,17.7945,15.1094664626424,3.843,9.7329076239491,1.20085155487547
Urban,3,11.5,14.526,16.1996629783537,2.841,7.02253617190501,1.20872701641989
Urban,3,12,18.3,14.4743139839552,3.2085,7.62040026869337,1.21665412705807
Urban,3.5,0,14.844,14.569662498017,4.485,9.87067781929108,1.04682077067918
Urban,3.5,0.5,16.5435,14.9891140856099,1.842,3.03235713528575,1.05368606280453
Urban,3.5,1,13.494,14.9814209429342,4.281,9.17220257081144,1.06059637909951
Urban,3.5,1.5,14.442,15.907969893184,1.8765,2.72907348597225,1.06755201484304
Urban,3.5,2,16.2255,15.5636247565027,5.9295,11.6779168558368,1.07455326725049
Urban,3.5,2.5,11.769,13.71272736682,1.6395,1.99516053520124,1.08160043548649
Urban,3.5,3,15.699,14.5820006815783,2.5125,6.05201149306946,1.08869382067763
