"β Value
(W/Mbps)","Model
Type","Urban EE-Optimal
Tilt (E°/M°)","Urban Tput-Optimal
Tilt (E°/M°)","Divergence
(degrees)"
0.01,Linear (baseline),6/2,6/2,0
0.05,Moderate nonlinear,5.5/2,6/2,0.5 (8.3%)
0.10,Strong nonlinear,5/3,6/2,1.0 (16.7%)
0.15,High nonlinear,4.5/3.5,6/2,1.5 (25.0%)
