d_sim,PL_hata_curve,PL_cost231_curve,PL_winner_curve,PL_ref_interp
0.1,100.820585228427,106.235562833142,2.19438589467839,102
0.149748743718593,106.997728223381,112.412705828095,8.63021488204073,102.994974874372
0.199497487437186,111.385837956126,116.80081556084,13.2020895886485,103.989949748744
0.249246231155779,114.791770465115,120.20674806983,16.7506555176324,104.984924623116
0.298994974874372,117.575777130192,122.990754734906,19.6512506326799,105.979899497487
0.348743718592965,119.930294719256,125.345272323971,22.1043705561353,106.974874371859
0.398492462311558,121.970297043522,127.385274648237,24.2298039649982,107.969849246231
0.448241206030151,123.769993647299,129.184971252014,26.1048681460459,108.964824120603
0.497989949748744,125.380079539093,130.795057143808,27.7823811100518,109.959798994975
0.547738693467337,126.836727485967,132.251705090681,29.300030464863,110.954773869347
0.59748743718593,128.166654479934,133.581632084648,30.6856520549481,111.949748743719
0.647236180904523,129.39015491672,134.805132521435,31.9603901634154,112.94472361809
0.696984924623116,130.523007344863,135.937984949577,33.1406841118317,113.939698492462
0.746733668341709,131.577722247298,136.992699852013,34.2395682963234,114.934673366834
0.796482412060301,132.564386560051,137.979364164766,35.2675520729655,115.929648241206
0.846231155778894,133.49125187124,138.906229475955,36.2332325893474,116.924623115578
0.895979899497487,134.365154336302,139.780131941016,37.1437322849777,117.91959798995
0.94572864321608,135.191820970881,140.606798575596,38.0050180110906,118.914572864322
0.995477386934673,135.976097328235,141.39107493295,38.8221382427068,119.909547738693
1.04522613065327,136.722119597072,142.137097201786,39.5994023835755,120.407035175879
1.09497487437186,137.433446646101,142.848424250816,40.3405183404797,120.854773869347
1.14472361809045,138.113162705718,143.528140310433,41.0486995050132,121.302512562814
1.19447236180905,138.763958189641,144.178935794356,41.7267489598664,121.750251256281
1.24422110552764,139.388194013767,144.803171618481,42.3771264912167,122.197989949749
1.29396984924623,139.987953297669,145.402930902384,43.0020024553858,122.645728643216
1.34371859296482,140.565083307125,145.98006091184,43.6033014778251,123.093467336683
1.39346733668342,141.121229767951,146.536207372665,44.1827382039497,123.541206030151
1.44321608040201,141.657865157928,147.072842762643,44.7418467758708,123.988944723618
1.4929648241206,142.176312202112,147.591289806827,45.2820053116366,124.436683417085
1.5427135678392,142.677763515458,148.092741120173,45.8044563704549,124.884422110553
1.59246231155779,143.163298126866,148.57827573158,46.3103241687262,125.33216080402
1.64221105527638,143.633895460539,149.048873065253,46.800629146918,125.779899497487
1.69195979899498,144.090447230203,149.505424834917,47.276300361885,126.227638190955
1.74170854271357,144.533767609241,149.948745213956,47.738186082911,126.675376884422
1.79145728643216,144.964601968216,150.379579572931,48.1870628951375,127.123115577889
1.84120603015075,145.383634415313,150.798612020028,48.6236435557885,127.570854271357
